metodo,x0_id,x0_x,x0_y,alpha_fijo,k,x_k,y_k,f_xk,alpha_k_opt
paso_fijo,0,-3.0,3.0,0.01,0,-3.0,3.0,1.939707749099463,
paso_fijo,0,-3.0,3.0,0.01,1,-2.996199148566748,3.0061991485667483,1.9450001441314346,
paso_fijo,0,-3.0,3.0,0.01,2,-2.9923876086316485,3.0124071086358155,1.9503113797451823,
paso_fijo,0,-3.0,3.0,0.01,3,-2.988565890951278,3.0186234261204774,1.955640536088254,
paso_fijo,0,-3.0,3.0,0.01,4,-2.984734509890444,3.0248476431929663,1.9609866806653233,
paso_fijo,0,-3.0,3.0,0.01,5,-2.9808939831905197,3.0310792985210577,1.9663488690472544,
paso_fijo,0,-3.0,3.0,0.01,6,-2.9770448317339127,3.0373179275085054,1.9717261455984696,
paso_fijo,0,-3.0,3.0,0.01,7,-2.9731875793049505,3.043563062539043,1.9771175442214775,
paso_fijo,0,-3.0,3.0,0.01,8,-2.9693227523474572,3.04981423322368,1.9825220891173785,
paso_fijo,0,-3.0,3.0,0.01,9,-2.9654508797193193,3.056070966650994,1.9879387955611043,
paso_fijo,0,-3.0,3.0,0.01,10,-2.961572492444331,3.0623327876401287,1.9933666706901294,
paso_fijo,0,-3.0,3.0,0.01,11,-2.9576881234616264,3.068599218996194,1.9988047143053342,
paso_fijo,0,-3.0,3.0,0.01,12,-2.953798307373003,3.074869781767758,2.0042519196826842,
paso_fijo,0,-3.0,3.0,0.01,13,-2.9499035801884532,3.0811439955061277,2.009707274394349,
paso_fijo,0,-3.0,3.0,0.01,14,-2.946004479070215,3.0874213785260887,2.0151697611378623,
paso_fijo,0,-3.0,3.0,0.01,15,-2.942101542075667,3.093701448167802,2.0206383585719077,
paso_fijo,0,-3.0,3.0,0.01,16,-2.9381953078993877,3.09998372105952,2.0261120421572905,
paso_fijo,0,-3.0,3.0,0.01,17,-2.9342863156146994,3.106267713380812,2.031589785001649,
paso_fijo,0,-3.0,3.0,0.01,18,-2.93037510441503,3.1125529411259665,2.037070558706446,
paso_fijo,0,-3.0,3.0,0.01,19,-2.9264622133554092,3.118838920367247,2.042553334214783,
paso_fijo,0,-3.0,3.0,0.01,20,-2.9225481810944265,3.1251251675176857,2.0480370826585657,
paso_fijo,0,-3.0,3.0,0.01,21,-2.918633545636979,3.13141119959308,2.0535207762035808,
paso_fijo,0,-3.0,3.0,0.01,22,-2.9147188440781213,3.13769653447288,2.0590033888910213,
paso_fijo,0,-3.0,3.0,0.01,23,-2.910804612348344,3.1439806911596513,2.064483897474028,
paso_fijo,0,-3.0,3.0,0.01,24,-2.906891384960592,3.1502631900367857,2.0699612822478395,
paso_fijo,0,-3.0,3.0,0.01,25,-2.9029796947593316,3.1565435531241683,2.075434527872141,
paso_fijo,0,-3.0,3.0,0.01,26,-2.8990700726719774,3.1628213043314806,2.080902624184251,
paso_fijo,0,-3.0,3.0,0.01,27,-2.895163047462975,3.1690959697088488,2.0863645670018016,
paso_fijo,0,-3.0,3.0,0.01,28,-2.891259145490835,3.175367077694539,2.0918193589135985,
paso_fijo,0,-3.0,3.0,0.01,29,-2.887358890468407,3.181634159359418,2.0972660100573997,
paso_fijo,0,-3.0,3.0,0.01,30,-2.883462803226668,3.1878967486478964,2.102703538883371,
paso_fijo,0,-3.0,3.0,0.01,31,-2.8795714014823055,3.1941543826150833,2.1081309729020377,
paso_fijo,0,-3.0,3.0,0.01,32,-2.8756851996093493,3.200406601659895,2.113547349415586,
paso_fijo,0,-3.0,3.0,0.01,33,-2.8718047084151133,3.2066529497538583,2.1189517162314164,
paso_fijo,0,-3.0,3.0,0.01,34,-2.8679304349206856,3.212892974665371,2.124343132356928,
paso_fijo,0,-3.0,3.0,0.01,35,-2.864062882146205,3.219126228179181,2.1297206686745196,
paso_fijo,0,-3.0,3.0,0.01,36,-2.860202548901148,3.225352266310863,2.1350834085958983,
paso_fijo,0,-3.0,3.0,0.01,37,-2.8563499295798325,3.231570649516085,2.1404304486948185,
paso_fijo,0,-3.0,3.0,0.01,38,-2.8525055139623516,3.2377809428944544,2.1457608993174353,
paso_fijo,0,-3.0,3.0,0.01,39,-2.848669787021114,3.243982716387767,2.1510738851695255,
paso_fijo,0,-3.0,3.0,0.01,40,-2.8448432287331804,3.250175544972468,2.156368545879894,
paso_fijo,0,-3.0,3.0,0.01,41,-2.8410263138985528,3.2563590088461734,2.16164403653933,
paso_fijo,0,-3.0,3.0,0.01,42,-2.8372195119645798,3.2625326936080867,2.1668995282145724,
paso_fijo,0,-3.0,3.0,0.01,43,-2.8334232868566103,3.268696190433179,2.1721342084367707,
paso_fijo,0,-3.0,3.0,0.01,44,-2.8296380968150303,3.27484909624,2.177347281664027,
paso_fijo,0,-3.0,3.0,0.01,45,-2.8258643942387964,3.2809910138520078,2.182537969717651,
paso_fijo,0,-3.0,3.0,0.01,46,-2.8221026255355723,3.2871215521523083,2.1877055121918287,
paso_fijo,0,-3.0,3.0,0.01,47,-2.8183532309785537,3.2932403262317242,2.1928491668364685,
paso_fijo,0,-3.0,3.0,0.01,48,-2.8146166445700667,3.299346957530109,2.1979682099130677,
paso_fijo,0,-3.0,3.0,0.01,49,-2.8108932939119993,3.3054410739708397,2.2030619365234676,
paso_fijo,0,-3.0,3.0,0.01,50,-2.8071836000831247,3.311522310088445,2.208129660911479,
paso_fijo,0,-3.0,3.0,0.01,51,-2.8034879775233517,3.3175903071493194,2.2131707167373667,
paso_fijo,0,-3.0,3.0,0.01,52,-2.7998068339249333,3.3236447132655,2.218184457325298,
paso_fijo,0,-3.0,3.0,0.01,53,-2.796140570130654,3.32968518350149,2.223170255883849,
paso_fijo,0,-3.0,3.0,0.01,54,-2.792489580038992,3.3357113799741263,2.22812750569979,
paso_fijo,0,-3.0,3.0,0.01,55,-2.7888542505162595,3.3417229719454933,2.233055620305367,
paso_fijo,0,-3.0,3.0,0.01,56,-2.785234961315694,3.347719635908908,2.2379540336193857,
paso_fijo,0,-3.0,3.0,0.01,57,-2.781632085003481,3.3537010556680023,2.24282220006243,
paso_fijo,0,-3.0,3.0,0.01,58,-2.7780459868916583,3.3596669224089455,2.247659594646612,
paso_fijo,0,-3.0,3.0,0.01,59,-2.774477024977865,3.365616934765853,2.2524657130402774,
paso_fijo,0,-3.0,3.0,0.01,60,-2.7709255498918632,3.371550798879448,2.257240071608151,
paso_fijo,0,-3.0,3.0,0.01,61,-2.7673919048487705,3.3774682284490405,2.261982207427433,
paso_fijo,0,-3.0,3.0,0.01,62,-2.7638764256089234,3.3833689447779056,2.2666916782803974,
paso_fijo,0,-3.0,3.0,0.01,63,-2.760379440444287,3.3892526768121494,2.271368062624084,
paso_fijo,0,-3.0,3.0,0.01,64,-2.756901270111311,3.395119161173156,2.2760109595376976,
paso_fijo,0,-3.0,3.0,0.01,65,-2.7534422278301314,3.400968142183723,2.280619988648367,
paso_fijo,0,-3.0,3.0,0.01,66,-2.7500026192700107,3.4067993718879936,2.285194790035937,
paso_fijo,0,-3.0,3.0,0.01,67,-2.746582742540894,3.412612610065308,2.289735024117488,
paso_fijo,0,-3.0,3.0,0.01,68,-2.743182888190961,3.4184076242380907,2.294240371512312,
paso_fijo,0,-3.0,3.0,0.01,69,-2.7398033392100385,3.424184189673918,2.298710532888071,
paso_fijo,0,-3.0,3.0,0.01,70,-2.7364443710387487,3.429942089381888,2.303145228788904,
paso_fijo,0,-3.0,3.0,0.01,71,-2.733106251583237,3.4356811141034473,2.307544199446243,
paso_fijo,0,-3.0,3.0,0.01,72,-2.7297892412353497,3.44140106229781,2.311907204573118,
paso_fijo,0,-3.0,3.0,0.01,73,-2.726493592898098,3.4471017401221298,2.316234023142742,
paso_fijo,0,-3.0,3.0,0.01,74,-2.7232195520162654,3.4527829614065726,2.320524453152161,
paso_fijo,0,-3.0,3.0,0.01,75,-2.7199673566119973,3.458444547624453,2.32477831137178,
paso_fijo,0,-3.0,3.0,0.01,76,-2.7167372373252077,3.4640863278575895,2.3289954330815528,
paso_fijo,0,-3.0,3.0,0.01,77,-2.713529417458652,3.46970813875705,2.333175671794635,
paso_fijo,0,-3.0,3.0,0.01,78,-2.7103441130274906,3.4753098244994467,2.3373188989693032,
paso_fijo,0,-3.0,3.0,0.01,79,-2.7071815328131814,3.4808912367389495,2.341425003709931,
paso_fijo,0,-3.0,3.0,0.01,80,-2.7040418784215356,3.486452234555192,2.345493892457801,
paso_fijo,0,-3.0,3.0,0.01,81,-2.700925344344764,3.4919926843972307,2.3495254886725383,
paso_fijo,0,-3.0,3.0,0.01,82,-2.6978321180273466,3.4975124600237346,2.35351973250493,
paso_fijo,0,-3.0,3.0,0.01,83,-2.694762379935556,3.5030114424395764,2.357476580461895,
paso_fijo,0,-3.0,3.0,0.01,84,-2.691716303630466,3.50848951982899,2.3613960050643312,
paso_fijo,0,-3.0,3.0,0.01,85,-2.688694055844276,3.513946587485469,2.365277994498598,
paso_fijo,0,-3.0,3.0,0.01,86,-2.685695796559778,3.5193825477385765,2.369122552262324,
paso_fijo,0,-3.0,3.0,0.01,87,-2.682721679092813,3.5247973098778314,2.3729296968052607,
paso_fijo,0,-3.0,3.0,0.01,88,-2.679771850177531,3.530190790073838,2.37669946116585,
paso_fijo,0,-3.0,3.0,0.01,89,-2.6768464500543105,3.5355629112968314,2.380431892604176,
paso_fijo,0,-3.0,3.0,0.01,90,-2.6739456125601597,3.54091360323279,2.38412705223195,
paso_fijo,0,-3.0,3.0,0.01,91,-2.6710694652214495,3.5462428021972907,2.3877850146401514,
paso_fijo,0,-3.0,3.0,0.01,92,-2.668218129348813,3.551550451047255,2.391405867524929,
paso_fijo,0,-3.0,3.0,0.01,93,-2.6653917201340613,3.5568364990907484,2.3949897113123466,
paso_fijo,0,-3.0,3.0,0.01,94,-2.66259034674896,3.5621009019949876,2.398536658782551,
